packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,flow_duration,avg_time_diff,packet_rate,burst_rate,size_variation,max_time_diff,min_time_diff,time_variation,idle_time,label
50,940.9,563.50166814305,54,1334,0.4960474967956543,0.010123418301952129,100.79659614531067,0.7346938775510204,0.5988964475971448,0.09001731872558594,0.0,0.020194673884975617,0.09001731872558594,0
50,165.26,299.4940273194108,54,1354,1.128833293914795,0.023037414161526427,44.29348069024383,0.5714285714285714,1.8122596242717608,0.32972145080566406,0.0,0.05115899634561836,0.32972145080566406,0
50,1163.8,408.47325493843533,54,1334,0.6055707931518555,0.012358587615343988,82.56659336750484,0.8571428571428571,0.3509823462686484,0.38641786575317383,0.0,0.056522815503665155,0.38641786575317383,0
50,1213.04,316.6128209659237,84,1334,0.26665520668029785,0.005441942993475467,187.50735496641377,0.9183673469387755,0.26100773321977505,0.21342754364013672,0.0,0.0300996187347526,0.21342754364013672,0
50,1096.2,478.54546283503726,54,1334,0.16762757301330566,0.0034209708778225644,298.27850408313867,0.8571428571428571,0.4365494092305125,0.06284952163696289,0.0,0.009793503523777754,0.06284952163696289,0
50,1334.0,0.0,1334,1334,0.03538775444030762,0.0007221990702103595,1412.8782092158135,0.9591836734693877,0.0,0.010282278060913086,0.0,0.0018231507597492192,0.010282278060913086,0
50,144.36,279.1159443672109,54,1354,0.3418307304382324,0.006976137355882294,146.2707980207086,0.6938775510204082,1.933471477097114,0.05901479721069336,0.0,0.012398967581396693,0.05901479721069336,0
50,1151.04,429.40349136913176,54,1334,0.21905231475830078,0.0044704554032306285,228.25493444447093,0.8775510204081632,0.3730569667397091,0.07609868049621582,0.0,0.01296265996778023,0.07609868049621582,0
50,898.8,538.9381411627869,54,1334,0.055327653884887695,0.0011291357935691367,903.6908814739274,0.9591836734693877,0.5996196490466926,0.024039030075073242,0.0,0.0034340382795168298,0.024039030075073242,0
50,264.56,406.98654326648204,54,1354,0.9945650100708008,0.02029724510348573,50.27318397543127,0.6938775510204082,1.5383525163597276,0.30109524726867676,0.0,0.05424655752294062,0.30109524726867676,0
50,536.7,571.3157883342626,54,1334,0.08485126495361328,0.0017316584684410874,589.2594620465795,0.9591836734693877,1.0644974609088227,0.024409770965576172,0.0,0.0035410786902873013,0.024409770965576172,0
50,356.46,364.7830155037375,54,1354,0.14442801475524902,0.0029475105052091635,346.1908265782367,0.8979591836734694,1.0233490839936836,0.05958271026611328,0.0,0.009221544089044867,0.05958271026611328,0
50,462.76,515.5412906838792,54,1334,0.8561522960662842,0.017472495838087434,58.40075630115772,0.7346938775510204,1.1140575883175332,0.34682369232177734,0.0,0.05453423399196433,0.34682369232177734,0
50,953.48,519.2401463677477,77,1334,0.136793851852417,0.002791711262294224,365.51083116741256,0.9387755102040817,0.5445737150471682,0.0650026798248291,0.0,0.009173150969177452,0.0650026798248291,0
50,863.46,518.8271469381687,54,1334,0.23663830757141113,0.004829353215743085,211.29203137526676,0.9387755102040817,0.6008699260386106,0.17412805557250977,0.0,0.02461741280099183,0.17412805557250977,0
50,349.48,482.7901506866104,54,1354,0.3570706844329834,0.007287156825162926,140.02790526333152,0.7755102040816326,1.3814528708514293,0.19034695625305176,0.0,0.02699951141048699,0.19034695625305176,0
50,939.84,492.3602485985236,66,1334,1.421555995941162,0.029011346855942085,35.17270158196984,0.9183673469387755,0.5238766684485092,0.8606812953948975,0.0,0.14017112287588981,0.8606812953948975,0
50,1323.48,73.64,808,1334,0.018686532974243164,0.0003813578158008809,2675.58056319764,1.0,0.05564118834010246,0.0014681816101074219,0.0,0.0005025820440129289,0.0014681816101074219,0
50,71.94,86.67927318569302,54,497,1.5790376663208008,0.032225258496342876,31.66483574243387,0.7755102040816326,1.2048828465500443,1.34419846534729,0.0,0.18962871760491143,1.34419846534729,0
50,1334.0,0.0,1334,1334,0.0314791202545166,0.0006424310256023796,1588.303970752026,0.9795918367346939,0.0,0.007918834686279297,0.0,0.0012386566479496578,0.007918834686279297,0
50,1310.64,163.51999999999998,166,1334,0.028258800506591797,0.0005767102144202407,1769.2976986280264,1.0,0.12476347423795739,0.0023260116577148438,0.0,0.0005994678707519607,0.0023260116577148438,0
50,918.46,529.5699466548305,54,1334,1.3361351490020752,0.027268064265348474,37.4213361694792,0.9183673469387755,0.5765846591884739,0.49606752395629883,0.0,0.09942435642932315,0.49606752395629883,0
50,1250.16,291.44449625957947,77,1334,0.055519819259643555,0.0011330575359110929,900.5630800614558,0.9795918367346939,0.23312575672430222,0.026508569717407227,0.0,0.0037000169318345526,0.026508569717407227,0
50,1243.34,309.3002819268033,77,1334,0.17209506034851074,0.003512144088745117,290.5354131799722,0.9387755102040817,0.24876564871880388,0.12677788734436035,0.0,0.01805118412243021,0.12677788734436035,0
50,72.78,90.7936759912275,54,518,0.2924826145172119,0.005969032949330855,170.94974733040175,0.7959183673469388,1.2475085840027331,0.09009766578674316,0.0,0.013807300279644356,0.09009766578674316,0
50,1334.0,0.0,1334,1334,0.0183260440826416,0.000374000899645747,2728.2086393493937,1.0,0.0,0.001434326171875,0.0,0.0005093314581374293,0.001434326171875,0
50,1334.0,0.0,1334,1334,0.01786518096923828,0.0003645955299844547,2798.583540941919,1.0,0.0,0.0014522075653076172,0.0,0.0005056074967796469,0.0014522075653076172,0
50,1334.0,0.0,1334,1334,0.021916627883911133,0.00044727812007981904,2281.268769815324,1.0,0.0,0.001499176025390625,0.0,0.0005749056089190336,0.001499176025390625,0
50,1334.0,0.0,1334,1334,0.02222442626953125,0.000453559719786352,2249.675636977312,1.0,0.0,0.0020084381103515625,0.0,0.0005695660056666268,0.0020084381103515625,0
