src_ip,dst_ip,protocol,packet_size,time_diff,label
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,94,0.032606602,0
2001:4860:482a:7700::,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,85,0.007577658,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,1292,0.38366437,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,1292,0.000998974,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,1292,0.0012784,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,1292,0,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,1292,0,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,638,0.001239538,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,678,0.001174212,0
2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,86,0.082037449,0
2606:4700:9c61:d9b3:b2dd:3f5:ccf5:ac50,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,98,0.043232918,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c61:d9b3:b2dd:3f5:ccf5:ac50,6,102,0.002431631,0
2606:4700:9c61:d9b3:b2dd:3f5:ccf5:ac50,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,74,0.061690569,0
10.58.86.157,8.8.8.8,1,74,0.050787449,0
8.8.8.8,10.58.86.157,1,74,0.058127403,0
2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,824,0.024856567,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,107,0.040008068,0
2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,833,0.094626904,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2606:4700:9c62:7dbb:bbdd:3f5:5ff2:75c4,17,107,0.0300138,0
10.58.86.157,8.8.8.8,1,74,0.765883923,0
8.8.8.8,10.58.86.157,1,74,0.062889814,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::12d3:d638,6,75,0.281210423,0
64:ff9b::12d3:d638,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,86,0.259986877,0
fe80::dc98:96ff:fe06:ad1b,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,58,86,0.342701912,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,fe80::dc98:96ff:fe06:ad1b,58,86,0.000511646,0
10.58.86.157,8.8.8.8,1,74,0.066830158,0
8.8.8.8,10.58.86.157,1,74,0.067477226,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::3656:3b23,6,75,0.162291288,1
